2017年,,,,
,,,,
宁夏,,,,(person)
地    区,,小学毕业人数,,
,,,,
,,,,
,,,,
,,,,
银 川 市,,,29293,
兴 庆 区,,,10001,
西 夏 区,,,3837,
金 凤 区,,,4271,
永 宁 县,,,4097,
贺 兰 县,,,3652,
灵 武 市,,,3435,
石嘴山市,,,8683,
大武口区,,,3142,
惠 农 区,,,1793,
平 罗 县,,,3748,
吴 忠 市,,,23187,
利 通 区,,,7351,
红寺堡区,,,3962,
盐 池 县,,,1946,
同 心 县,,,6534,
青铜峡市,,,3394,
固 原 市,,,21331,
原 州 区,,,7687,
西 吉 县,,,7067,
隆 德 县,,,2279,
泾 源 县,,,1546,
彭 阳 县,,,2752,
中 卫 市,,,18132,
沙坡头区,,,5280,
中 宁 县,,,5581,
海 原 县,,,7271,
青海,,,,
西宁市,,,25183,
海东市,,,18683,
海北州,,,4044,
黄南州,,,3999,
海南州,,,6078,
果洛州,,,2543,
玉树州,,,6102,
海西州,,,6129,
