municipality, elementary_graduates, province
银 川 市,29293, 宁夏
兴 庆 区,10001, 宁夏
西 夏 区,3837, 宁夏
金 凤 区,4271, 宁夏
永 宁 县,4097, 宁夏
贺 兰 县,3652, 宁夏
灵 武 市,3435, 宁夏
石嘴山市,8683, 宁夏
大武口区,3142, 宁夏
惠 农 区,1793, 宁夏
平 罗 县,3748, 宁夏
吴 忠 市,23187, 宁夏
利 通 区,7351, 宁夏
红寺堡区,3962, 宁夏
盐 池 县,1946, 宁夏
同 心 县,6534, 宁夏
青铜峡市,3394, 宁夏
固 原 市,21331, 宁夏
原 州 区,7687, 宁夏
西 吉 县,7067, 宁夏
隆 德 县,2279, 宁夏
泾 源 县,1546, 宁夏
彭 阳 县,2752, 宁夏
中 卫 市,18132, 宁夏
沙坡头区,5280, 宁夏
中 宁 县,5581, 宁夏
海 原 县,7271, 宁夏
西 宁 市,25183, 青海
海 东 市,18683, 青海
海 北 州,4044, 青海
黄 南 州,3999, 青海
海 南 州,6078, 青海
果 洛 州,2543, 青海
玉 树 州,6102, 青海
海 西 州,6129, 青海
